analysis	signature_acc	signature_desc	hit_rows	unique_proteins
SUPERFAMILY	SSF57850	RING/U-box	114	94
Gene3D	G3DSA:3.40.50.620	HUPs	98	91
PANTHER	PTHR24223	ATP-BINDING CASSETTE SUB-FAMILY C	91	91
Pfam	PF00271	Helicase conserved C-terminal domain	91	88
SUPERFAMILY	SSF90123	ABC transporter transmembrane region	108	87
SUPERFAMILY	SSF50249	Nucleic acid-binding proteins	94	86
Gene3D	G3DSA:3.30.420.10		84	84
PANTHER	PTHR43806	PEPTIDASE S8	84	84
Pfam	PF00076	RNA recognition motif	112	83
ProSiteProfiles	PS50893	ATP-binding cassette, ABC transporter-type domain profile.	103	83
SUPERFAMILY	SSF52047	RNI-like	85	83
ProSiteProfiles	PS50102	Eukaryotic RNA Recognition Motif (RRM) profile.	113	82
Gene3D	G3DSA:2.40.50.140		93	82
Gene3D	G3DSA:3.20.20.70	Aldolase class I	85	82
SignalP_EUK	SignalP-TM	SignalP-TM	82	82
Gene3D	G3DSA:2.30.29.30		86	81
SUPERFAMILY	SSF50729	PH domain-like	82	81
ProSiteProfiles	PS51194	Superfamilies 1 and 2 helicase C-terminal domain profile.	81	80
SUPERFAMILY	SSF53067	Actin-like ATPase domain	116	78
Gene3D	G3DSA:3.40.50.2300		101	78
ProSiteProfiles	PS50929	ABC transporter integral membrane type-1 fused domain profile.	97	78
Gene3D	G3DSA:3.30.420.40		116	77
SMART	SM00360	rrm1_1	116	77
SUPERFAMILY	SSF52833	Thioredoxin-like	85	76
SUPERFAMILY	SSF54001	Cysteine proteinases	76	76
SUPERFAMILY	SSF53383	PLP-dependent transferases	77	75
Gene3D	G3DSA:2.40.30.10	Translation factors	82	72
Gene3D	G3DSA:3.40.30.10	Glutaredoxin	81	72
Pfam	PF00664	ABC transporter transmembrane region	92	71
SMART	SM00490	helicmild6	72	71
SUPERFAMILY	SSF51905	FAD/NAD(P)-binding domain	83	70
Gene3D	G3DSA:3.10.20.90		74	70
Gene3D	G3DSA:3.40.640.10		70	70
Gene3D	G3DSA:3.30.160.60	Classic Zinc Finger	118	69
SUPERFAMILY	SSF81665	Calcium ATPase, transmembrane domain M	71	69
Pfam	PF00270	DEAD/DEAH box helicase	69	68
PRINTS	PR00320	G protein beta WD-40 repeat signature	201	67
Gene3D	G3DSA:3.50.50.60		84	67
Gene3D	G3DSA:1.10.238.10		88	65
Gene3D	G3DSA:1.50.40.10	Mitochondrial carrier domain	78	64
Gene3D	G3DSA:1.10.287.1490		75	64
Gene3D	G3DSA:1.10.10.10		67	64
SMART	SM00487	ultradead3	65	64
ProSiteProfiles	PS50089	Zinc finger RING-type profile.	64	64
SUPERFAMILY	SSF103506	Mitochondrial carrier	64	64
SUPERFAMILY	SSF47473	EF-hand	71	63
Pfam	PF00153	Mitochondrial carrier protein	152	62
SignalP_GRAM_NEGATIVE	SignalP-TM	SignalP-TM	60	60
PRINTS	PR00723	Subtilisin serine protease family (S8) signature	156	59
ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	107	59
Gene3D	G3DSA:2.60.40.150	C2 domain	66	59
ProSiteProfiles	PS50920	Solute carrier (Solcar) repeat profile.	138	57
ProSiteProfiles	PS50222	EF-hand calcium-binding domain profile.	90	57
SUPERFAMILY	SSF52058	L domain-like	61	57
Gene3D	G3DSA:3.30.930.10	Bira Bifunctional Protein; Domain 2	58	57
Pfam	PF00003	7 transmembrane sweet-taste receptor of 3 GCPR	58	57
ProSitePatterns	PS00136	Serine proteases, subtilase family, aspartic acid active site.	57	57
SUPERFAMILY	SSF46785	Winged helix DNA-binding domain	57	57
ProSitePatterns	PS00018	EF-hand calcium-binding domain.	84	56
SUPERFAMILY	SSF57667	beta-beta-alpha zinc fingers	76	56
Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	63	56
SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	58	56
SUPERFAMILY	SSF55681	Class II aaRS and biotin synthetases	57	56
CDD	cd02440	AdoMet_MTases	56	56
SUPERFAMILY	SSF50044	SH3-domain	61	55
NCBIfam	TIGR00231	small GTP-binding protein domain	55	55
ProSitePatterns	PS00138	Serine proteases, subtilase family, serine active site.	54	54
ProSitePatterns	PS00211	ABC transporters family signature.	59	53
CDD	cd00200	WD40	53	53
SMART	SM00355	c2h2final6	137	52
ProSiteProfiles	PS50157	Zinc finger C2H2 type domain profile.	100	52
SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	55	51
ProSiteProfiles	PS50259	G-protein coupled receptors family 3 profile.	53	51
Gene3D	G3DSA:2.60.120.10	Jelly Rolls	62	50
SUPERFAMILY	SSF49562	C2 domain (Calcium/lipid-binding domain, CaLB)	58	50
Gene3D	G3DSA:1.10.8.60		55	50
Gene3D	G3DSA:3.40.850.10	Kinesin motor domain	54	50
SUPERFAMILY	SSF53822	Periplasmic binding protein-like I	54	50
Gene3D	G3DSA:3.90.1150.10	Aspartate Aminotransferase, domain 1	50	50
SUPERFAMILY	SSF46565	Chaperone J-domain	50	50
SMART	SM00248	ANK_2a	204	49
ProSiteProfiles	PS50005	TPR repeat profile.	80	49
Gene3D	G3DSA:3.90.70.10	Cysteine proteinases	59	49
SUPERFAMILY	SSF53187	Zn-dependent exopeptidases	51	49
ProSitePatterns	PS00137	Serine proteases, subtilase family, histidine active site.	49	49
SMART	SM00028	tpr_5	200	48
Gene3D	G3DSA:1.10.287.110	DnaJ domain	48	48
Gene3D	G3DSA:2.30.30.40	SH3 Domains	53	47
SUPERFAMILY	SSF55486	"Metalloproteases (""zincins""), catalytic domain"	49	47
Gene3D	G3DSA:3.60.10.10	Endonuclease/exonuclease/phosphatase	48	47
SUPERFAMILY	SSF81383	F-box domain	47	47
ProSiteProfiles	PS50004	C2 domain profile.	52	46
Pfam	PF07690	Major Facilitator Superfamily	48	46
NCBIfam	TIGR01494	HAD-IC family P-type ATPase	62	45
Pfam	PF03169	OPT oligopeptide transporter protein	62	45
Gene3D	G3DSA:3.40.630.10	Zn peptidases	51	45
Gene3D	G3DSA:1.10.630.10	Cytochrome P450	48	45
SUPERFAMILY	SSF48264	Cytochrome P450	47	45
SUPERFAMILY	SSF56219	DNase I-like	47	45
Pfam	PF00168	C2 domain	52	44
Gene3D	G3DSA:3.40.1110.10		45	44
ProSiteProfiles	PS50850	Major facilitator superfamily (MFS) profile.	45	44
SUPERFAMILY	SSF52402	Adenine nucleotide alpha hydrolases-like	45	44
Pfam	PF00443	Ubiquitin carboxyl-terminal hydrolase	44	44
ProSiteProfiles	PS50088	Ankyrin repeat profile.	86	43
SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like	45	43
SUPERFAMILY	SSF55729	Acyl-CoA N-acyltransferases (Nat)	45	43
Gene3D	G3DSA:3.40.630.30		44	43
ProSiteProfiles	PS50076	dnaJ domain profile.	43	43
SMART	SM00271	dnaj_3	43	43
SUPERFAMILY	SSF81653	Calcium ATPase, transduction domain A	43	43
ProSiteProfiles	PS51450	Leucine-rich repeat profile.	74	42
SMART	SM00184	ring_2	47	42
ProSiteProfiles	PS50002	Src homology 3 (SH3) domain profile.	46	42
Gene3D	G3DSA:2.70.150.10		43	42
Pfam	PF00122	P-type ATPase actuator domain	43	42
PANTHER	PTHR19229	ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA	42	42
ProSiteProfiles	PS50235	Ubiquitin specific protease (USP) domain profile.	42	42
SMART	SM00175	rab_sub_5	42	42
ProSiteProfiles	PS50297	Ankyrin repeat region circular profile.	78	41
Gene3D	G3DSA:3.30.450.20	PAS domain	49	41
Gene3D	G3DSA:1.10.10.60		48	41
Gene3D	G3DSA:3.10.110.10	Ubiquitin Conjugating Enzyme	43	41
Pfam	PF00067	Cytochrome P450	43	41
SUPERFAMILY	SSF52374	Nucleotidylyl transferase	43	41
SUPERFAMILY	SSF54236	Ubiquitin-like	43	41
Gene3D	G3DSA:3.60.21.10		42	41
CDD	cd06257	DnaJ	41	41
Gene3D	G3DSA:3.30.470.20		41	41
Gene3D	G3DSA:3.40.50.80		41	41
PANTHER	PTHR22878	DYNEIN HEAVY CHAIN 6, AXONEMAL-LIKE-RELATED	41	41
Pfam	PF00226	DnaJ domain	41	41
SUPERFAMILY	SSF82199	SET domain	41	41
Gene3D	G3DSA:1.20.1110.10		52	40
Pfam	PF00225	Kinesin motor domain	45	40
Gene3D	G3DSA:1.20.1740.10	Amino acid/polyamine transporter I	42	40
SUPERFAMILY	SSF54495	UBC-like	42	40
PANTHER	PTHR22601	ISP4 LIKE PROTEIN	40	40
PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	125	39
Gene3D	G3DSA:2.60.40.10	Immunoglobulins	112	39
ProSiteProfiles	PS50003	PH domain profile.	40	39
ProSiteProfiles	PS50067	Kinesin motor domain profile.	39	39
ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	39	39
PRINTS	PR00081	Glucose/ribitol dehydrogenase family signature	171	38
ProSiteProfiles	PS51419	small GTPase Rab1 family profile.	38	38
SUPERFAMILY	SSF50447	Translation proteins	38	38
SUPERFAMILY	SSF51197	Clavaminate synthase-like	38	38
SUPERFAMILY	SSF81660	Metal cation-transporting ATPase, ATP-binding domain N	38	38
SMART	SM00326	SH3_2	45	37
SMART	SM00239	C2_3c	44	37
SUPERFAMILY	SSF52799	(Phosphotyrosine protein) phosphatases II	42	37
Gene3D	G3DSA:1.20.1270.60	Arfaptin homology (AH) domain/BAR domain	40	37
SUPERFAMILY	SSF63380	Riboflavin synthase domain-like	39	37
SUPERFAMILY	SSF52343	Ferredoxin reductase-like, C-terminal NADP-linked domain	38	37
Gene3D	G3DSA:3.30.710.10	Potassium Channel Kv1.1; Chain A	37	37
PANTHER	PTHR24346	MAP/MICROTUBULE AFFINITY-REGULATING KINASE	37	37
ProSitePatterns	PS00154	E1-E2 ATPases phosphorylation site.	37	37
Gene3D	G3DSA:3.20.20.80	Glycosidases	39	36
SUPERFAMILY	SSF56235	N-terminal nucleophile aminohydrolases (Ntn hydrolases)	36	36
PRINTS	PR00625	DnaJ domain signature	122	35
Pfam	PF00106	short chain dehydrogenase	42	35
SUPERFAMILY	SSF46689	Homeodomain-like	39	35
Pfam	PF00176	SNF2-related domain	38	35
CDD	cd04077	Peptidases_S8_PCSK9_ProteinaseK_like	35	35
Pfam	PF05922	Peptidase inhibitor I9	35	35
SUPERFAMILY	SSF56059	Glutathione synthetase ATP-binding domain-like	35	35
PRINTS	PR01217	Proline rich extensin signature	159	34
Pfam	PF00071	Ras family	35	34
PANTHER	PTHR22914	CHITIN SYNTHASE	34	34
SUPERFAMILY	SSF47923	Ypt/Rab-GAP domain of gyp1p	46	33
Gene3D	G3DSA:1.10.472.10		41	33
Pfam	PF12796	Ankyrin repeats (3 copies)	41	33
Gene3D	G3DSA:3.90.190.10	Protein tyrosine phosphatase superfamily	39	33
Gene3D	G3DSA:3.60.20.10	Glutamine Phosphoribosylpyrophosphate, subunit 1, domain 1	35	33
SUPERFAMILY	SSF56672	DNA/RNA polymerases	34	33
PANTHER	PTHR18934	ATP-DEPENDENT RNA HELICASE	33	33
Pfam	PF00149	Calcineurin-like phosphoesterase	33	33
ProSiteProfiles	PS51384	Ferredoxin reductase-type FAD binding domain profile.	33	33
SUPERFAMILY	SSF51445	(Trans)glycosidases	33	33
SUPERFAMILY	SSF54695	POZ domain	33	33
Gene3D	G3DSA:2.120.10.80		45	32
Pfam	PF03142	Chitin synthase	40	32
Gene3D	G3DSA:1.10.287.70		39	32
SUPERFAMILY	SSF81901	HCP-like	38	32
ProSitePatterns	PS00674	AAA-protein family signature.	34	32
SUPERFAMILY	SSF64484	beta and beta-prime subunits of DNA dependent RNA-polymerase	34	32
PANTHER	PTHR14187	ALPHA KINASE/ELONGATION FACTOR 2 KINASE	32	32
SUPERFAMILY	SSF53850	Periplasmic binding protein-like II	32	32
SUPERFAMILY	SSF51206	cAMP-binding domain-like	39	31
SUPERFAMILY	SSF81324	Voltage-gated potassium channels	39	31
SUPERFAMILY	SSF55785	PYP-like sensor domain (PAS domain)	37	31
Gene3D	G3DSA:2.170.270.10	SET domain	32	31
Gene3D	G3DSA:3.40.50.10810		32	31
SUPERFAMILY	SSF56801	Acetyl-CoA synthetase-like	31	31
PRINTS	PR00449	Transforming protein P21 ras signature	118	30
Pfam	PF00520	Ion transport protein	39	30
Pfam	PF00012	Hsp70 protein	33	30
CDD	cd18787	SF2_C_DEAD	30	30
ProSitePatterns	PS00518	Zinc finger RING-type signature.	30	30
ProSiteProfiles	PS51195	DEAD-box RNA helicase Q motif profile.	30	30
SMART	SM00129	kinesin_4	30	30
SMART	SM00173	ras_sub_4	30	30
SUPERFAMILY	SSF49899	Concanavalin A-like lectins/glucanases	30	30
PRINTS	PR00380	Kinesin heavy chain signature	94	29
SUPERFAMILY	SSF57903	FYVE/PHD zinc finger	33	29
SUPERFAMILY	SSF117281	Kelch motif	32	29
ProSiteProfiles	PS50181	F-box domain profile.	29	29
PRINTS	PR00385	P450 superfamily signature	107	28
Gene3D	G3DSA:3.90.226.10		32	28
ProSiteProfiles	PS50042	cAMP/cGMP binding motif profile.	32	28
ProSiteProfiles	PS50112	PAS repeat profile.	32	28
SUPERFAMILY	SSF52096	ClpP/crotonase	32	28
CDD	cd00038	CAP_ED	31	28
Gene3D	G3DSA:3.40.50.12780		30	28
Pfam	PF00018	SH3 domain	29	28
Gene3D	G3DSA:3.30.70.80	Peptidase S8 propeptide/proteinase inhibitor I9	28	28
PANTHER	PTHR48104	METACASPASE-4	28	28
Pfam	PF13246	P-type ATPase, cytoplasmic domain N	28	28
ProSiteProfiles	PS50086	TBC/rab GAP domain profile.	28	28
SFLD	SFLDS00003	Haloacid Dehalogenase	28	28
SUPERFAMILY	SSF47616	GST C-terminal domain-like	28	28
SUPERFAMILY	SSF56645	Acyl-CoA dehydrogenase NM domain-like	28	28
Gene3D	G3DSA:1.10.8.10		33	27
SUPERFAMILY	SSF57716	Glucocorticoid receptor-like (DNA-binding domain)	31	27
Gene3D	G3DSA:3.40.140.10	Cytidine Deaminase, domain 2	29	27
Pfam	PF01764	Lipase (class 3)	29	27
Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	28	27
Gene3D	G3DSA:3.90.640.10	Actin; Chain A, domain 4	28	27
ProSiteProfiles	PS51186	Gcn5-related N-acetyltransferase (GNAT) domain profile.	28	27
Pfam	PF00155	Aminotransferase class I and II	27	27
Pfam	PF00179	Ubiquitin-conjugating enzyme	27	27
ProSitePatterns	PS00039	DEAD-box subfamily ATP-dependent helicases signature.	27	27
ProSiteProfiles	PS50127	Ubiquitin-conjugating (UBC) core domain profile.	27	27
ProSiteProfiles	PS50879	RNase H type-1 domain profile.	27	27
ProSiteProfiles	PS51421	small GTPase Ras family profile.	27	27
SUPERFAMILY	SSF55856	Cytochrome b5-like heme/steroid binding domain	27	27
SMART	SM00369	LRR_typ_2	122	26
Gene3D	G3DSA:3.40.50.10190	BRCT domain	41	26
SUPERFAMILY	SSF47203	Acyl-CoA dehydrogenase C-terminal domain-like	33	26
Gene3D	G3DSA:1.20.140.10		31	26
Pfam	PF17862	AAA+ lid domain	30	26
CDD	cd00130	PAS	29	26
Pfam	PF00501	AMP-binding enzyme	28	26
SUPERFAMILY	SSF57997	Tropomyosin	28	26
SMART	SM00233	PH_update	27	26
Gene3D	G3DSA:2.60.120.920		26	26
Gene3D	G3DSA:3.30.230.10		26	26
PANTHER	PTHR10519	GABA-B RECEPTOR	26	26
Pfam	PF00009	Elongation factor Tu GTP binding domain	26	26
Pfam	PF00118	TCP-1/cpn60 chaperonin family	26	26
Pfam	PF00856	SET domain	26	26
SMART	SM00174	rho_sub_3	26	26
SMART	SM00054	efh_1	63	25
Pfam	PF00096	Zinc finger, C2H2 type	43	25
SUPERFAMILY	SSF47954	Cyclin-like	34	25
SUPERFAMILY	SSF54631	CBS-domain pair	33	25
Gene3D	G3DSA:3.30.565.10		28	25
Gene3D	G3DSA:1.20.900.10	Dbl homology (DH) domain	26	25
Gene3D	G3DSA:1.10.20.10	Histone, subunit A	25	25
Gene3D	G3DSA:1.10.472.80		25	25
Gene3D	G3DSA:2.40.110.10		25	25
ProSitePatterns	PS00411	Kinesin motor domain signature.	25	25
ProSitePatterns	PS00636	Nt-dnaJ domain signature.	25	25
ProSitePatterns	PS00973	Ubiquitin specific protease (USP) domain signature 2.	25	25
ProSiteProfiles	PS50010	Dbl homology (DH) domain profile.	25	25
SUPERFAMILY	SSF52113	BRCT domain	37	24
Gene3D	G3DSA:1.10.1280.10		29	24
SUPERFAMILY	SSF55073	Nucleotide cyclase	29	24
Pfam	PF00264	Common central domain of tyrosinase	28	24
SUPERFAMILY	SSF46934	UBA-like	28	24
SUPERFAMILY	SSF54160	Chromo domain-like	28	24
Pfam	PF07992	Pyridine nucleotide-disulphide oxidoreductase	27	24
CDD	cd00519	Lipase_3	25	24
CDD	cd18793	SF2_C_SNF	25	24
Gene3D	G3DSA:2.60.120.650	Cupin	25	24
Pfam	PF00027	Cyclic nucleotide-binding domain	25	24
SUPERFAMILY	SSF56281	Metallo-hydrolase/oxidoreductase	25	24
SUPERFAMILY	SSF64356	SNARE-like	25	24
PANTHER	PTHR47958	ATP-DEPENDENT RNA HELICASE DBP3	24	24
Pfam	PF00326	Prolyl oligopeptidase family	24	24
Pfam	PF00656	Caspase domain	24	24
Pfam	PF20253	Family of unknown function (DUF6604)	24	24
ProSiteProfiles	PS50280	SET domain profile.	24	24
ProSiteProfiles	PS50862	Aminoacyl-transfer RNA synthetases class-II family profile.	24	24
SUPERFAMILY	SSF103657	BAR/IMD domain-like	24	24
SUPERFAMILY	SSF47113	Histone-fold	24	24
SUPERFAMILY	SSF48056	Di-copper centre-containing domain	24	24
SUPERFAMILY	SSF48065	DBL homology domain (DH-domain)	24	24
SUPERFAMILY	SSF48350	GTPase activation domain, GAP	24	24
SUPERFAMILY	SSF53720	ALDH-like	24	24
SUPERFAMILY	SSF54897	Protease propeptides/inhibitors	24	24
PRINTS	PR00463	E-class P450 group I signature	101	23
PRINTS	PR00080	Short-chain dehydrogenase/reductase (SDR) superfamily signature	65	23
Pfam	PF13499	EF-hand domain pair	29	23
Gene3D	G3DSA:3.30.70.1230	Nucleotide cyclase	28	23
NCBIfam	TIGR00229	PAS domain S-box protein	27	23
Gene3D	G3DSA:3.40.50.410	von Willebrand factor, type A domain	26	23
SUPERFAMILY	SSF55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	25	23
Gene3D	G3DSA:2.120.10.30		24	23
Pfam	PF00173	Cytochrome b5-like Heme/Steroid binding domain	24	23
ProSitePatterns	PS00086	Cytochrome P450 cysteine heme-iron ligand signature.	24	23
CDD	cd03244	ABCC_MRP_domain2	23	23
Gene3D	G3DSA:1.20.1050.10		23	23
Gene3D	G3DSA:3.20.20.140		23	23
Gene3D	G3DSA:3.40.47.10		23	23
PANTHER	PTHR24006	UBIQUITIN CARBOXYL-TERMINAL HYDROLASE	23	23
Pfam	PF00227	Proteasome subunit	23	23
Pfam	PF00702	haloacid dehalogenase-like hydrolase	23	23
Pfam	PF07714	Protein tyrosine and serine/threonine kinase	23	23
ProSiteProfiles	PS51722	Translational (tr)-type guanine nucleotide-binding (G) domain profile.	23	23
SUPERFAMILY	SSF51395	FMN-linked oxidoreductases	23	23
SUPERFAMILY	SSF51569	Aldolase	23	23
Pfam	PF08238	Sel1 repeat	85	22
SMART	SM00671	sel1	83	22
ProSiteProfiles	PS51371	CBS domain profile.	34	22
CDD	cd00051	EFh	30	22
Gene3D	G3DSA:3.40.190.10		30	22
SUPERFAMILY	SSF103481	Multidrug resistance efflux transporter EmrE	27	22
SUPERFAMILY	SSF53300	vWA-like	25	22
Gene3D	G3DSA:1.10.390.10	Neutral Protease Domain 2	23	22
Gene3D	G3DSA:2.40.100.10		23	22
Pfam	PF12774	Hydrolytic ATP binding site of dynein motor region	23	22
Pfam	PF12781	ATP-binding dynein motor region	23	22
SUPERFAMILY	SSF53756	UDP-Glycosyltransferase/glycogen phosphorylase	23	22
Gene3D	G3DSA:1.20.5.170		22	22
Gene3D	G3DSA:3.10.120.10		22	22
Pfam	PF00566	Rab-GTPase-TBC domain	22	22
Pfam	PF00690	Cation transporter/ATPase, N-terminus	22	22
Pfam	PF08393	Dynein heavy chain, N-terminal region 2	22	22
Pfam	PF12937	F-box-like	22	22
SMART	SM00212	ubc_7	22	22
SUPERFAMILY	SSF50182	Sm-like ribonucleoproteins	22	22
PRINTS	PR00926	Mitochondrial carrier protein signature	92	21
SUPERFAMILY	SSF54791	Eukaryotic type KH-domain (KH-domain type I)	36	21
Gene3D	G3DSA:3.30.830.10		32	21
SUPERFAMILY	SSF63411	LuxS/MPP-like metallohydrolase	32	21
CDD	cd00590	RRM_SF	28	21
SMART	SM00249	PHD_3	27	21
ProSiteProfiles	PS50125	Guanylate cyclase domain profile.	26	21
SUPERFAMILY	SSF52518	Thiamin diphosphate-binding fold (THDP-binding)	25	21
Gene3D	G3DSA:3.40.50.970		23	21
Pfam	PF01094	Receptor family ligand binding region	23	21
SUPERFAMILY	SSF69572	Activating enzymes of the ubiquitin-like proteins	23	21
Gene3D	G3DSA:3.90.550.50		22	21
ProSiteProfiles	PS50053	Ubiquitin domain profile.	22	21
SUPERFAMILY	SSF52172	CheY-like	22	21
Gene3D	G3DSA:2.30.30.100		21	21
Gene3D	G3DSA:2.40.50.100		21	21
Gene3D	G3DSA:2.70.50.70		21	21
Gene3D	G3DSA:3.40.50.1440	Tubulin/FtsZ, GTPase domain	21	21
PANTHER	PTHR11353	CHAPERONIN	21	21
PANTHER	PTHR11588	TUBULIN	21	21
PANTHER	PTHR24093	CATION TRANSPORTING ATPASE	21	21
PANTHER	PTHR48103	MIDASIN-RELATED	21	21
Pfam	PF00651	BTB/POZ domain	21	21
Pfam	PF13520	Amino acid permease	21	21
ProSiteProfiles	PS50405	Soluble glutathione S-transferase C-terminal domain profile.	21	21
SFLD	SFLDF00027	p-type atpase	21	21
SFLD	SFLDG00002	C1.7: P-type atpase like	21	21
SUPERFAMILY	SSF50891	Cyclophilin-like	21	21
PRINTS	PR00315	GTP-binding elongation factor signature	89	20
PRINTS	PR00248	Metabotropic glutamate GPCR signature	71	20
Gene3D	G3DSA:3.30.1370.10	K Homology domain, type 1	37	20
ProSiteProfiles	PS50103	Zinc finger C3H1-type profile.	32	20
Gene3D	G3DSA:3.40.50.2020		31	20
Gene3D	G3DSA:3.40.50.2000	Glycogen Phosphorylase B;	29	20
ProSiteProfiles	PS50172	BRCT domain profile.	28	20
SUPERFAMILY	SSF53901	Thiolase-like	27	20
ProSiteProfiles	PS50030	Ubiquitin-associated domain (UBA) profile.	26	20
SMART	SM00100	cnmp_10	23	20
SUPERFAMILY	SSF53271	PRTase-like	23	20
Pfam	PF00063	Myosin head (motor domain)	22	20
ProSiteProfiles	PS51352	Thioredoxin domain profile.	22	20
SMART	SM00091	pas_2	22	20
CDD	cd04301	NAT_SF	21	20
Gene3D	G3DSA:1.20.920.20		21	20
Gene3D	G3DSA:3.60.15.10		21	20
Pfam	PF18199	Dynein heavy chain C-terminal domain	21	20
SUPERFAMILY	SSF55347	Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain	21	20
CDD	cd00030	C2	20	20
CDD	cd18580	ABC_6TM_ABCC_D2	20	20
Gene3D	G3DSA:1.10.560.10		20	20
